kw,impressions,clicks,cost,conversions,CPC,CPA
affiliate marketing,12045,330,627.08,15.0,1.9,41.81
b2b marketing,2040,88,144.25,1.0,1.64,144.25
business marketing,314,9,22.63,1.0,2.51,22.63
business to business marketing,185,2,4.42,1.0,2.21,4.42
business â€“ marketing,434,12,40.25,1.0,3.35,40.25
buzz marketing,309,15,27.73,10.0,1.85,2.77
chief marketing officer,19223,2066,2779.95,142.0,1.35,19.58
content marketing,21208,368,607.98,31.0,1.65,19.61
definition of marketing,1047,25,66.77,1.0,2.67,66.77
digital marketing,18689,803,1353.49,70.0,1.69,19.34
digital marketing agency,822,42,104.93,3.0,2.5,34.98
digital marketing jobs,1395,51,48.29,2.0,0.95,24.14
digital marketing services,59,3,8.24,2.0,2.75,4.12
direct marketing,780,23,165.61,3.0,7.2,55.2
direct marketing association,5128,297,717.74,44.0,2.42,16.31
e marketing,4034,76,146.23,12.0,1.92,12.19
email marketing,3017,155,378.74,1.0,2.44,378.74
email marketing software,798,7,17.36,1.0,2.48,17.36
event marketing,18,6,35.84,2.0,5.97,17.92
experiential marketing,1331,52,59.63,1.0,1.15,59.63
field marketing,21,1,2.39,1.0,2.39,2.39
green marketing,423,24,42.05,4.0,1.75,10.51
inbound marketing,3631,102,331.3,6.0,3.25,55.22
integrated marketing communications,23688,1520,2924.32,34.85,1.92,83.91
internet marketing,3096,281,223.74,7.0,0.8,31.96
marketing agencies,394,33,82.96000000000001,1.0,2.51,82.96
marketing automation,332,43,136.1,8.0,3.17,17.01
marketing campaigns,456,13,37.35,9.0,2.87,4.15
marketing careers,108,7,16.0,1.0,2.29,16.0
marketing communications,879,26,70.9,0.7,2.73,101.29
marketing concepts,651,44,68.11,7.0,1.55,9.73
marketing consulting,1526,55,79.04,2.0,1.44,39.52
marketing coordinator,136,10,15.49,1.0,1.55,15.49
marketing definition,414,77,253.59,7.6,3.29,33.37
marketing degree,285,8,19.13,2.0,2.39,9.56
marketing department,19,2,1.83,1.0,0.92,1.83
marketing digital,6843,259,622.39,27.0,2.4,23.05
marketing director,64,16,20.54,1.0,1.28,20.54
marketing ideas,382,10,20.810000000000002,2.0,2.08,10.4
marketing jobs,3918,55,168.0,3.0,3.05,56.0
marketing magazine,558,14,49.94,4.0,3.57,12.48
marketing management,330,38,185.57,5.0,4.88,37.11
marketing manager,277,31,136.99,5.0,4.42,27.4
marketing managers,1306,68,176.62,8.0,2.6,22.08
marketing mix,10798,424,893.83,47.0,2.11,19.02
marketing online,89,18,97.72999999999999,5.0,5.43,19.55
marketing plan sample,54,10,24.24,1.0,2.42,24.24
marketing plan template,1946,81,122.74,3.0,1.52,40.91
marketing plans,2399,252,305.3,27.0,1.21,11.31
marketing research process,139,2,8.12,1.0,4.06,8.12
marketing segmentation,87,5,10.49,6.0,2.1,1.75
marketing strategies,9029,255,724.64,24.0,2.84,30.19
mass marketing,46,2,7.45,1.0,3.72,7.45
mobile marketing,2871,85,119.1,2.0,1.4,59.55
multi level marketing,6003,201,746.62,20.0,3.71,37.33
network marketing,36811,630,648.39,15.0,1.03,43.23
network marketing pro,80,1,2.39,1.0,2.39,2.39
online marketing,1866,86,355.81,6.0,4.14,59.3
product marketing,291,5,12.35,1.0,2.47,12.35
shopper marketing,110,4,10.9,1.0,2.72,10.9
small business marketing,23,2,2.31,1.0,1.16,2.31
sms marketing,1894,32,78.48,2.0,2.45,39.24
social marketing,858,27,110.86999999999999,3.0,4.11,36.96
social media marketing,6617,182,637.86,15.0,3.5,42.52
sports marketing,950,15,56.87,1.0,3.79,56.87
trade marketing,861,164,173.4,18.4,1.06,9.42
vector marketing,2857,91,374.27,5.0,4.11,74.85
viral marketing,449,35,107.11,12.0,3.06,8.93
web marketing,273,59,108.66,5.0,1.84,21.73
what is marketing,6755,428,301.82,15.0,0.71,20.12
what is network marketing,110,3,5.55,3.0,1.85,1.85
