cmpgn,kw,search_impression_share,top_impression_percentage,absolute_top_impression_percentage
Acquisition,content marketing,0.1,0.0,0.0
Acquisition Impact,agent marketing,20.47,0.0,0.0
Acquisition Impact,attraction marketing,9.16,0.0,0.0
Acquisition Impact,content marketing strategy,13.69,0.0,0.0
Acquisition Impact,cross channel marketing,4.83,0.0,0.0
Acquisition Impact,definition of marketing,32.62,27.92,13.45
Acquisition Impact,digital marketing manager,5.93,0.71,0.39999999999999997
Acquisition Impact,field marketing,2.64,0.0,0.0
Acquisition Impact,marketing companies,30.830000000000002,24.39,12.26
Acquisition Impact,marketing consultant,24.72,26.03,11.66
Acquisition Impact,marketing land,20.240000000000002,0.0,0.0
Acquisition Impact,marketing roi,15.42,0.0,0.0
Acquisition Impact,marketing strategy template,13.05,0.9,0.5
Acquisition Impact,marketing videos,8.81,0.0,0.0
Acquisition Impact,mlm marketing,2.75,0.0,0.0
Acquisition Impact,product marketing,17.28,8.32,2.83
Acquisition Impact,retail marketing,11.32,9.89,6.87
Acquisition Impact,sample marketing plan,20.71,0.83,0.13
Acquisition Impact,sms marketing,35.96,46.29,18.17
Acquisition Impact,social media marketing,48.64,92.79,40.23
Acquisition Impact,test marketing,0.5,0.14,0.14
Acquisition Impact,types of marketing strategies,5.27,6.22,3.33
Acquisition Impact,vertical marketing system,6.35,0.0,0.0
Acquisition Impact,what does a marketing manager do,8.58,0.0,0.0
Acquisition Impact,what is vector marketing,7.51,0.0,0.0
Applied Marketing,marketing consultant,0.25,0.0,0.0
Awareness/Engagement,agent marketing,0.1,0.0,0.0
Awareness/Engagement,buzz marketing,0.24000000000000002,0.8,0.33
Awareness/Engagement,data-driven marketing,0.0,0.0,0.0
Awareness/Engagement,digital marketing certificates,0.51,0.17,0.0
Awareness/Engagement,marketing functions,0.1,0.58,0.03
Awareness/Engagement,marketing land,0.17,0.0,0.0
Awareness/Engagement,marketing mix modeling,0.1,0.84,0.11
Awareness/Engagement,marketing strategy examples,0.22999999999999998,1.52,0.39
Awareness/Engagement,product marketing,0.0,0.0,0.0
Awareness/Engagement,real estate marketing,0.13,0.94,0.5
Awareness/Engagement,strategic marketing plan,0.1,0.0,0.0
Awareness/Engagement,text marketing,0.25,0.0,0.0
Awareness/Engagement,the marketing mix,0.1,0.73,0.73
Branded,integrated marketing communications,55.02,306.21,172.45
Branded,trade marketing,16.18,19.21,18.59
Branded - Max Conv.,integrated marketing communications,4.07,8.01,5.93
Bringing Back - Max Conv.,affiliate marketing,1.74,10.18,2.31
Bringing Back - Max Conv.,content marketing,0.30000000000000004,0.0,0.0
Bringing Back - Max Conv.,define marketing,0.9700000000000001,0.5,0.09
Bringing Back - Max Conv.,digital marketing salary,1.33,0.0,0.0
Bringing Back - Max Conv.,direct marketing definition,0.5,0.0,0.0
Bringing Back - Max Conv.,email marketing tips,0.25,0.0,0.0
Bringing Back - Max Conv.,experiential marketing,0.4,0.75,0.18
Bringing Back - Max Conv.,impact marketing,1.5,0.0,0.0
Bringing Back - Max Conv.,international marketing,1.98,0.0,0.0
Bringing Back - Max Conv.,internet marketing firm,1.0,0.0,0.0
Bringing Back - Max Conv.,marketing assistant,0.68,0.0,0.0
Bringing Back - Max Conv.,marketing concept definition,0.33,0.0,0.0
Bringing Back - Max Conv.,marketing interview questions,0.27,0.0,0.0
Bringing Back - Max Conv.,marketing metrics,0.37,0.0,0.0
Bringing Back - Max Conv.,marketing operations,0.25,0.0,0.0
Bringing Back - Max Conv.,marketing quotes,0.13,0.7,0.3
Bringing Back - Max Conv.,mobile marketing,1.35,2.7199999999999998,1.12
Bringing Back - Max Conv.,social media marketing services,0.6000000000000001,0.0,0.0
Bringing Back - Max Conv.,social media marketing strategy,0.76,0.0,0.0
Cloud Report,buzz marketing,0.35,2.2800000000000002,1.26
Cloud Report,digital marketing services,0.73,2.31,0.94
Cloud Report,marketing campaigns,0.42000000000000004,2.6,1.89
Cloud Report,marketing segmentation,0.73,3.07,1.46
Cloud Report,what is network marketing,0.65,3.71,2.76
Consideration,corporate marketing,0.0,0.0,0.0
Consideration,marketing consulting firms,0.1,0.87,0.4
Consideration,marketing myopia,0.1,0.76,0.34
Consideration,marketing resume,0.1,0.94,0.38
Consideration,marketing websites,0.0,0.0,0.0
Consideration,what is marketing mix,0.1,0.76,0.24
Customer Playbook - Max Conv.,affiliate marketing programs,1.6600000000000001,0.0,0.0
Customer Playbook - Max Conv.,business marketing jobs,0.5,0.0,0.0
Customer Playbook - Max Conv.,difference between marketing and advertising,1.0,0.0,0.0
Customer Playbook - Max Conv.,email marketing,2.69,2.44,1.05
Customer Playbook - Max Conv.,how to write a marketing plan,2.0,0.0,0.0
Customer Playbook - Max Conv.,law firm marketing,0.2,0.0,0.0
Customer Playbook - Max Conv.,marketing analysis,1.92,0.0,0.0
Customer Playbook - Max Conv.,marketing analyst,0.13,0.0,0.0
Customer Playbook - Max Conv.,marketing analytics,2.34,0.0,0.0
Customer Playbook - Max Conv.,marketing books,1.1400000000000001,1.07,0.11
Customer Playbook - Max Conv.,marketing collateral,4.41,0.0,0.0
Customer Playbook - Max Conv.,marketing dashboard,0.0,0.0,0.0
Customer Playbook - Max Conv.,marketing environment,1.52,0.0,0.0
Customer Playbook - Max Conv.,marketing materials,0.25,0.0,0.0
Customer Playbook - Max Conv.,marketing plan examples,3.18,0.78,0.23
Customer Playbook - Max Conv.,marketing science,1.3900000000000001,0.0,0.0
Customer Playbook - Max Conv.,marketing specialist,1.5,0.0,0.0
Customer Playbook - Max Conv.,music marketing,0.8300000000000001,0.0,0.0
Customer Playbook - Max Conv.,relationship marketing,0.93,2.98,0.92
Customer Playbook - Max Conv.,seo marketing,2.18,0.0,0.0
Customer Playbook - Max Conv.,what is affiliate marketing,2.33,0.0,0.0
Customer Playbook - Max Conv.,why is marketing important,1.12,0.0,0.0
HubSpot App - Non-Branded,b2c marketing,0.13,0.0,0.0
HubSpot App - Non-Branded,digital marketing news,0.16,0.93,0.27
HubSpot App - Non-Branded,green marketing,1.2000000000000002,11.34,2.93
HubSpot App - Non-Branded,marketing business,0.1,0.0,0.0
HubSpot App - Non-Branded,marketing careers,0.6000000000000001,5.57,2.19
HubSpot App - Non-Branded,marketing department,0.1,0.95,0.58
HubSpot App - Non-Branded,promotional marketing,0.6000000000000001,5.46,1.4
HubSpot App - Non-Branded,what is inbound marketing,0.4,3.3000000000000003,0.98
Intelligence Playbook,affiliate marketing programs,0.0,0.0,0.0
Intelligence Playbook,business marketing jobs,2.3200000000000003,0.0,0.0
Intelligence Playbook,content marketing world,0.0,0.0,0.0
Intelligence Playbook,data driven marketing,3.7199999999999998,0.0,0.0
Intelligence Playbook,difference between marketing and advertising,1.5,0.0,0.0
Intelligence Playbook,digital marketing certified,2.62,0.0,0.0
Intelligence Playbook,email marketing,49.12,85.62,36.81
Intelligence Playbook,how to create a marketing plan,2.6,0.0,0.0
Intelligence Playbook,how to write a marketing plan,6.83,0.0,0.0
Intelligence Playbook,internet marketing services,6.98,0.0,0.0
Intelligence Playbook,internet marketing strategies,1.15,0.0,0.0
Intelligence Playbook,law firm marketing,2.72,0.0,0.0
Intelligence Playbook,lead generation marketing,0.0,0.0,0.0
Intelligence Playbook,marketing analysis,4.0600000000000005,0.0,0.0
Intelligence Playbook,marketing analyst,3.72,0.0,0.0
Intelligence Playbook,marketing analytics,12.51,0.7100000000000001,0.4
Intelligence Playbook,marketing books,13.72,11.58,1.2
Intelligence Playbook,marketing collateral,21.29,13.41,4.33
Intelligence Playbook,marketing dashboard,0.7,0.0,0.0
Intelligence Playbook,marketing environment,18.44,6.7,2.29
Intelligence Playbook,marketing information management,0.0,0.0,0.0
Intelligence Playbook,marketing information system,8.57,7.47,1.98
Intelligence Playbook,marketing materials,8.36,1.8699999999999999,0.56
Intelligence Playbook,marketing plan examples,25.17,12.610000000000001,3.1
Intelligence Playbook,marketing science,3.58,3.96,0.24
Intelligence Playbook,marketing specialist,2.5,0.0,0.0
Intelligence Playbook,marketing tactics,5.41,0.0,0.0
Intelligence Playbook,materials marketing,0.1,0.17,0.0
Intelligence Playbook,music marketing,19.75,0.1,0.0
Intelligence Playbook,online marketing companies,0.48,0.9,0.2
Intelligence Playbook,relationship marketing,12.280000000000001,39.61,5.33
Intelligence Playbook,restaurant marketing,3.64,0.0,0.0
Intelligence Playbook,seo marketing,18.07,12.2,6.88
Intelligence Playbook,social media marketing plan,1.0,0.0,0.0
Intelligence Playbook,strategic marketing,14.620000000000001,12.51,4.92
Intelligence Playbook,the marketing store,6.04,0.0,0.0
Intelligence Playbook,visual marketing,0.56,0.2,0.0
Intelligence Playbook,what does marketing mean,2.2,0.0,0.0
Intelligence Playbook,what is affiliate marketing,21.76,2.0500000000000003,0.5800000000000001
Intelligence Playbook,why is marketing important,1.01,0.78,0.0
Marketing Inbound,advertising and marketing,0.0,0.0,0.0
Marketing Inbound,affiliate marketing for dummies,0.30000000000000004,0.0,0.0
Marketing Inbound,affiliate marketing training,0.28,0.0,0.0
Marketing Inbound,app marketing,1.1,4.0,0.74
Marketing Inbound,b2b marketing,1.8,16.93,4.08
Marketing Inbound,business marketing,0.93,5.37,1.25
Marketing Inbound,business to business marketing,1.1600000000000001,0.63,0.38
Marketing Inbound,careers in marketing,0.0,0.0,0.0
Marketing Inbound,chief marketing officer,2.5,20.11,2.7
Marketing Inbound,content marketing,3.3000000000000003,23.45,5.890000000000001
Marketing Inbound,dental marketing,0.0,0.0,0.0
Marketing Inbound,digital marketing agency,1.9000000000000001,12.71,2.08
Marketing Inbound,digital marketing jobs,0.7100000000000001,5.18,1.6400000000000001
Marketing Inbound,digital marketing trends,0.43000000000000005,0.0,0.0
Marketing Inbound,e marketing,0.9,6.17,1.17
Marketing Inbound,email marketing best practices,0.25,0.0,0.0
Marketing Inbound,email marketing services,1.5,1.61,0.08
Marketing Inbound,email marketing software,2.35,16.94,1.0
Marketing Inbound,examples of marketing strategies,0.1,0.0,0.0
Marketing Inbound,food marketing institute,0.0,0.0,0.0
Marketing Inbound,healthcare marketing,0.0,0.0,0.0
Marketing Inbound,infinity marketing,0.0,0.0,0.0
Marketing Inbound,innovative marketing,1.1,7.09,0.9299999999999999
Marketing Inbound,integrated marketing,0.0,0.0,0.0
Marketing Inbound,integrated marketing communications,10.26,11.99,11.41
Marketing Inbound,interactive marketing,0.8,1.37,0.49
Marketing Inbound,internet marketing,1.7000000000000002,10.540000000000001,1.84
Marketing Inbound,marketing agencies,0.6000000000000001,3.61,0.63
Marketing Inbound,marketing articles,0.98,3.48,1.67
Marketing Inbound,marketing automation,1.01,2.31,0.54
Marketing Inbound,marketing blogs,0.7000000000000001,4.21,1.04
Marketing Inbound,marketing calendar,0.1,0.0,0.0
Marketing Inbound,marketing career path,0.30000000000000004,0.0,0.0
Marketing Inbound,marketing channels,1.5,2.7,0.48
Marketing Inbound,marketing classes,0.2,1.46,0.27
Marketing Inbound,marketing communications,0.0,0.0,0.0
Marketing Inbound,marketing degree,1.0,5.18,1.52
Marketing Inbound,marketing digital,3.2,23.44,5.28
Marketing Inbound,marketing icon,0.30000000000000004,1.6400000000000001,0.32
Marketing Inbound,marketing ideas,1.4000000000000001,11.89,2.49
Marketing Inbound,marketing magazine,1.5,12.8,3.67
Marketing Inbound,marketing major,0.30000000000000004,1.9,0.11
Marketing Inbound,marketing managers,2.3000000000000003,16.99,3.84
Marketing Inbound,marketing plan template,1.4000000000000001,10.59,1.28
Marketing Inbound,marketing proposal template,0.0,0.0,0.0
Marketing Inbound,marketing research process,2.46,6.69,2.09
Marketing Inbound,marketing salaries,2.1,14.85,3.5100000000000002
Marketing Inbound,marketing software,0.30000000000000004,1.9,0.9199999999999999
Marketing Inbound,marketing strategies,0.9,6.65,1.96
Marketing Inbound,marketing technology,0.4,0.0,0.0
Marketing Inbound,marketing vs advertising,0.25,0.0,0.0
Marketing Inbound,multi channel marketing,0.5,0.89,0.47
Marketing Inbound,multi level marketing,0.5,3.11,0.62
Marketing Inbound,multi level marketing companies,0.5,4.5,0.9
Marketing Inbound,network marketing,1.0,7.5,1.4
Marketing Inbound,online marketing,0.1,0.0,0.0
Marketing Inbound,pharmaceutical marketing,0.0,0.0,0.0
Marketing Inbound,principles of marketing,0.6000000000000001,1.7200000000000002,0.32
Marketing Inbound,propel marketing,0.7000000000000001,3.55,0.05
Marketing Inbound,real estate marketing ideas,0.0,0.0,0.0
Marketing Inbound,shopper marketing,1.21,5.09,1.15
Marketing Inbound,social media marketing jobs,0.0,0.0,0.0
Marketing Inbound,social media marketing world,0.1,0.0,0.0
Marketing Inbound,top network marketing companies,1.3599999999999999,6.85,0.13
Marketing Inbound,trade marketing,14.69,20.02,19.39
Marketing Inbound,traditional marketing,0.1,0.0,0.0
Marketing Inbound,vector marketing,0.1,0.0,0.0
Marketing Inbound,vector marketing jobs,0.30000000000000004,0.0,0.0
Marketing Inbound,what is marketing,3.49,23.63,5.5
Marketing Inbound,what is marketing automation,0.2,0.0,0.0
Marketing Inbound,what is marketing research,1.5,0.0,0.0
Marketing Inbound Allies,business â€“ marketing,1.6,7.53,3.98
Marketing Inbound Allies,content marketing,0.7000000000000001,5.26,1.3699999999999999
Marketing Inbound Allies,content marketing agency,0.1,0.93,0.13
Marketing Inbound Allies,facebook marketing,1.3,8.81,4.62
Marketing Inbound Allies,local marketing,0.22,0.73,0.0
Marketing Inbound Allies,marketing funnel,0.88,2.54,1.02
Marketing Inbound Allies,medical marketing,0.1,0.0,0.0
Marketing Inbound Allies,online marketing,1.37,8.37,3.52
Marketing Inbound Allies,performance marketing,0.33,1.67,0.6399999999999999
Marketing Inbound Allies,sales and marketing,0.5,4.05,1.12
Marketing Inbound Allies,social media marketing companies,0.73,2.45,0.61
Marketing Inbound Allies,word of mouth marketing,0.2,1.74,0.7
Marketing Inbound Partnerships,content marketing,2.8000000000000003,18.32,5.64
Marketing Inbound Partnerships,digital marketing definition,0.2,1.31,0.32
Marketing Inbound Partnerships,digital marketing jobs,1.7400000000000002,10.37,3.47
Marketing Inbound Partnerships,e marketing,2.9000000000000004,21.27,5.01
Marketing Inbound Partnerships,marketing strategies,2.75,18.39,4.91
Marketing Inbound Partnerships,multi level marketing,1.96,9.77,3.7600000000000002
Marketing Inbound Partnerships,network marketing,3.1,20.49,3.5500000000000003
Marketing Inbound Partnerships,traditional marketing,0.2,0.0,0.0
Marketing Inbound Support,best marketing campaigns,0.0,0.0,0.0
Marketing Inbound Support,free email marketing,0.0,0.0,0.0
Marketing Inbound Support,inbound marketing agency,0.0,0.0,0.0
Marketing Inbound Support,inbound vs outbound marketing,0.0,0.0,0.0
Marketing Inbound Support,marketing and communications,0.1,0.0,0.0
Marketing Inbound Support,marketing basics,0.0,0.0,0.0
Marketing Inbound Support,marketing campaign template,0.0,0.0,0.0
Marketing Inbound Support,marketing conferences,0.0,0.0,0.0
Marketing Inbound Support,marketing plan outline,0.0,0.0,0.0
Marketing Inbound Support,marketing solutions,0.0,0.0,0.0
Marketing Inbound Support,referral marketing,0.1,0.0,0.0
Marketing Inbound Support,target marketing definition,0.0,0.0,0.0
Marketing Inbound Support,video marketing,0.30000000000000004,2.3600000000000003,0.79
Non Branded - Max Conv.,marketing automation software,0.5,0.0,0.0
Non Branded - Max Conv.,multi level marketing,0.55,0.65,0.39999999999999997
Non Branded - Max Conv.,network marketing tips,2.83,0.0,0.0
Non Branded Applied Marketing,account based marketing,4.98,0.0,0.0
Non Branded Applied Marketing,advantage sales and marketing,7.36,10.91,4.66
Non Branded Applied Marketing,affiliate marketing,21.26,133.24,32.17
Non Branded Applied Marketing,affiliate marketing programs,0.0,0.0,0.0
Non Branded Applied Marketing,agent marketing,2.91,0.0,0.0
Non Branded Applied Marketing,book marketing,4.74,0.0,0.0
Non Branded Applied Marketing,business marketing jobs,0.0,0.0,0.0
Non Branded Applied Marketing,content marketing,2.6,13.18,2.13
Non Branded Applied Marketing,content marketing definition,0.1,0.78,0.0
Non Branded Applied Marketing,content marketing institute,2.56,0.0,0.0
Non Branded Applied Marketing,content marketing strategy,2.0100000000000002,0.43,0.14
Non Branded Applied Marketing,content marketing world,0.0,0.0,0.0
Non Branded Applied Marketing,cross channel marketing,0.5800000000000001,0.0,0.0
Non Branded Applied Marketing,data driven marketing,1.23,0.0,0.0
Non Branded Applied Marketing,database marketing,0.30000000000000004,2.29,0.8200000000000001
Non Branded Applied Marketing,define marketing,10.66,48.71,13.59
Non Branded Applied Marketing,define marketing mix,0.0,0.0,0.0
Non Branded Applied Marketing,definition of marketing,1.9700000000000002,0.37,0.0
Non Branded Applied Marketing,digital marketing certified,0.0,0.0,0.0
Non Branded Applied Marketing,digital marketing companies,0.30000000000000004,1.84,0.06
Non Branded Applied Marketing,digital marketing manager,1.72,1.27,0.9400000000000001
Non Branded Applied Marketing,digital marketing salary,6.38,0.0,0.0
Non Branded Applied Marketing,digital marketing strategy,0.1,0.0,0.0
Non Branded Applied Marketing,direct mail marketing,3.1700000000000004,1.26,0.0
Non Branded Applied Marketing,direct marketing definition,10.5,0.0,0.0
Non Branded Applied Marketing,director of marketing,1.29,0.0,0.0
Non Branded Applied Marketing,email marketing,3.0100000000000002,8.73,1.26
Non Branded Applied Marketing,email marketing tips,3.06,0.0,0.0
Non Branded Applied Marketing,event marketing,1.28,1.67,1.0
Non Branded Applied Marketing,experiential marketing,6.92,40.81,11.63
