cmpgn,kw,search_impression_share,top_impression_percentage,absolute_top_impression_percentage
Non Branded Applied Marketing,food marketing,0.53,2.25,0.49
Non Branded Applied Marketing,fusion marketing,0.0,0.0,0.0
Non Branded Applied Marketing,global marketing,2.3600000000000003,1.21,0.0
Non Branded Applied Marketing,how to create a marketing plan,0.0,0.0,0.0
Non Branded Applied Marketing,how to write a marketing plan,0.0,0.0,0.0
Non Branded Applied Marketing,impact marketing,3.12,0.0,0.0
Non Branded Applied Marketing,interactions marketing,2.18,0.43,0.0
Non Branded Applied Marketing,internal marketing,0.17,0.0,0.0
Non Branded Applied Marketing,international marketing,28.23,16.26,6.73
Non Branded Applied Marketing,internet marketing firm,6.0,0.0,0.0
Non Branded Applied Marketing,internet marketing services,0.37,0.0,0.0
Non Branded Applied Marketing,internet marketing strategies,0.67,0.0,0.0
Non Branded Applied Marketing,law firm marketing,0.35000000000000003,0.0,0.0
Non Branded Applied Marketing,lead generation marketing,0.0,0.0,0.0
Non Branded Applied Marketing,legacy marketing partners,0.0,0.0,0.0
Non Branded Applied Marketing,marketing analysis,2.14,0.0,0.0
Non Branded Applied Marketing,marketing analyst,0.8,0.0,0.0
Non Branded Applied Marketing,marketing analytics,2.33,0.0,0.0
Non Branded Applied Marketing,marketing assistant,7.0,10.68,2.8200000000000003
Non Branded Applied Marketing,marketing automation software,0.13,0.0,0.0
Non Branded Applied Marketing,marketing books,2.7,1.19,0.14
Non Branded Applied Marketing,marketing certifications,0.0,0.0,0.0
Non Branded Applied Marketing,marketing cloud,1.1,0.6699999999999999,0.06
Non Branded Applied Marketing,marketing collateral,3.06,0.0,0.0
Non Branded Applied Marketing,marketing communications,7.8,2.75,1.05
Non Branded Applied Marketing,marketing companies,4.8,0.54,0.23
Non Branded Applied Marketing,marketing concept definition,1.9300000000000002,0.0,0.0
Non Branded Applied Marketing,marketing consultant,5.49,5.6000000000000005,2.4000000000000004
Non Branded Applied Marketing,marketing consulting,8.65,54.69,14.55
Non Branded Applied Marketing,marketing dashboard,0.0,0.0,0.0
Non Branded Applied Marketing,marketing environment,0.37,0.0,0.0
Non Branded Applied Marketing,marketing for dummies,3.0,0.0,0.0
Non Branded Applied Marketing,marketing for small business,0.33,0.0,0.0
Non Branded Applied Marketing,marketing information management,0.0,0.0,0.0
Non Branded Applied Marketing,marketing information system,1.6400000000000001,0.0,0.0
Non Branded Applied Marketing,marketing internships,2.8200000000000003,9.57,2.65
Non Branded Applied Marketing,marketing interview questions,5.54,1.01,0.26
Non Branded Applied Marketing,marketing job description,4.61,0.0,0.0
Non Branded Applied Marketing,marketing jobs,7.1000000000000005,33.48,7.55
Non Branded Applied Marketing,marketing land,6.09,0.0,0.0
Non Branded Applied Marketing,marketing materials,2.65,0.0,0.0
Non Branded Applied Marketing,marketing metrics,4.82,5.3,0.9600000000000001
Non Branded Applied Marketing,marketing objectives,4.48,23.03,5.7700000000000005
Non Branded Applied Marketing,marketing objectives examples,0.6000000000000001,2.6100000000000003,0.59
Non Branded Applied Marketing,marketing operations,5.71,0.0,0.0
Non Branded Applied Marketing,marketing plan examples,2.25,0.0,0.0
Non Branded Applied Marketing,marketing positions,5.63,1.53,0.69
Non Branded Applied Marketing,marketing process,0.83,0.9,0.1
Non Branded Applied Marketing,marketing proposal,0.31,0.78,0.11
Non Branded Applied Marketing,marketing quotes,4.58,30.84,8.01
Non Branded Applied Marketing,marketing research,6.95,34.81,7.5
Non Branded Applied Marketing,marketing research definition,0.29,0.78,0.22
Non Branded Applied Marketing,marketing roi,4.67,0.0,0.0
Non Branded Applied Marketing,marketing science,0.8,0.0,0.0
Non Branded Applied Marketing,marketing services,5.68,0.0,0.0
Non Branded Applied Marketing,marketing skills,8.93,0.17,0.0
Non Branded Applied Marketing,marketing specialist,0.0,0.0,0.0
Non Branded Applied Marketing,marketing strategies,5.15,30.63,13.82
Non Branded Applied Marketing,marketing strategy template,1.5,0.0,0.0
Non Branded Applied Marketing,marketing tactics,1.67,0.0,0.0
Non Branded Applied Marketing,marketing techniques,2.29,2.62,1.28
Non Branded Applied Marketing,marketing terms,9.5,0.0,0.0
Non Branded Applied Marketing,marketing trends,1.8,8.48,2.46
Non Branded Applied Marketing,marketing videos,1.0,0.0,0.0
Non Branded Applied Marketing,masters in marketing,2.0100000000000002,0.0,0.0
Non Branded Applied Marketing,match marketing group,1.15,0.0,0.0
Non Branded Applied Marketing,mlm marketing,1.0,0.0,0.0
Non Branded Applied Marketing,mobile marketing,14.190000000000001,70.67999999999999,16.4
Non Branded Applied Marketing,mobile marketing association,0.5,0.0,0.0
Non Branded Applied Marketing,multi level marketing,24.14,83.43,41.76
Non Branded Applied Marketing,multi level marketing companies,1.6,13.15,1.1
Non Branded Applied Marketing,music marketing,0.14,0.0,0.0
Non Branded Applied Marketing,network marketing companies,1.9000000000000001,3.12,0.78
Non Branded Applied Marketing,network marketing tips,2.5,0.0,0.0
Non Branded Applied Marketing,online marketing jobs,1.6,10.76,3.45
Non Branded Applied Marketing,ppc marketing,6.53,0.0,0.0
Non Branded Applied Marketing,pragmatic marketing framework,2.7,0.87,0.2
Non Branded Applied Marketing,prima marketing,0.13,0.9,0.3
Non Branded Applied Marketing,product marketing,2.39,0.0,0.0
Non Branded Applied Marketing,product marketing manager,0.0,0.0,0.0
Non Branded Applied Marketing,promotion marketing,10.71,0.0,0.0
Non Branded Applied Marketing,relationship marketing,3.02,5.529999999999999,0.94
Non Branded Applied Marketing,restaurant marketing,1.4500000000000002,0.0,0.0
Non Branded Applied Marketing,retail marketing,2.36,0.0,0.0
Non Branded Applied Marketing,sample marketing plan,7.04,0.49,0.29
Non Branded Applied Marketing,search engine marketing,0.6000000000000001,0.0,0.0
Non Branded Applied Marketing,search marketing,0.44000000000000006,0.0,0.0
Non Branded Applied Marketing,seo marketing,1.6400000000000001,0.0,0.0
Non Branded Applied Marketing,sms marketing,3.19,4.1,1.01
Non Branded Applied Marketing,social media marketing,13.91,29.400000000000002,10.84
Non Branded Applied Marketing,social media marketing agency,1.0,0.0,0.0
Non Branded Applied Marketing,social media marketing company,4.23,0.0,0.0
Non Branded Applied Marketing,social media marketing services,3.79,0.0,0.0
Non Branded Applied Marketing,social media marketing strategy,9.71,14.17,3.45
Non Branded Applied Marketing,sports marketing,4.18,19.8,4.66
Non Branded Applied Marketing,strategic marketing,0.8400000000000001,0.0,0.0
Non Branded Applied Marketing,text message marketing,1.12,0.73,0.0
Non Branded Applied Marketing,the marketing store,1.2,0.0,0.0
Non Branded Applied Marketing,types of marketing,1.21,5.6000000000000005,2.23
Non Branded Applied Marketing,vertical marketing system,5.68,0.0,0.0
Non Branded Applied Marketing,victory marketing,1.9000000000000001,0.0,0.0
Non Branded Applied Marketing,website marketing company,3.8,0.0,0.0
Non Branded Applied Marketing,what does a marketing manager do,6.41,0.0,0.0
Non Branded Applied Marketing,what is affiliate marketing,1.07,0.0,0.0
Non Branded Applied Marketing,what is b2b marketing,0.0,0.0,0.0
Non Branded Applied Marketing,what is content marketing,0.0,0.0,0.0
Non Branded Applied Marketing,what is digital marketing,6.7700000000000005,19.96,1.31
Non Branded Applied Marketing,what is vector marketing,0.8600000000000001,0.0,0.0
Non Branded Applied Marketing,why is marketing important,1.37,0.0,0.0
Non Branded Conversion Strategy,brand marketing,6.09,15.36,1.28
Non Branded Conversion Strategy,creative marketing ideas,0.46,0.17,0.0
Non Branded Conversion Strategy,digital marketing strategy,8.39,0.0,0.0
Non Branded Conversion Strategy,fuse marketing,2.27,0.0,0.0
Non Branded Conversion Strategy,hotel marketing,2.4299999999999997,1.06,0.29
Non Branded Conversion Strategy,internal marketing,5.59,0.63,0.0
Non Branded Conversion Strategy,internet marketing company,2.72,10.22,0.64
Non Branded Conversion Strategy,internet marketing service,0.77,2.72,0.75
Non Branded Conversion Strategy,marketing automation software,7.92,0.0,0.0
Non Branded Conversion Strategy,marketing titles,0.71,0.2,0.2
Non Branded Conversion Strategy,marketing tools,4.6000000000000005,17.09,1.97
Non Branded Conversion Strategy,media marketing,1.02,4.140000000000001,1.23
Non Branded Conversion Strategy,modern marketing concepts,1.1400000000000001,4.7,0.88
Non Branded Conversion Strategy,multi level marketing,30.28,92.32000000000001,29.46
Non Branded Conversion Strategy,network marketing tips,19.83,0.17,0.0
Non Branded Conversion Strategy,online marketing company,1.61,0.0,0.0
Non Branded Conversion Strategy,types of marketing,5.640000000000001,16.5,5.35
Non Branded Conversion Strategy,western marketing,0.1,0.17,0.0
Non Branded Conversion Strategy,what is content marketing,8.610000000000001,7.75,1.53
Non Branded Conversion Strategy,what is direct marketing,0.66,1.46,0.25
Non Branded Conversion Strategy,what is social media marketing,0.48,1.02,0.03
Non Branded Conversion Strategy,what is the marketing mix,0.4,1.26,0.0
Non Branded Funnel,business and marketing,0.0,0.0,0.0
Non Branded Funnel,channel marketing,1.2000000000000002,1.78,0.22
Non Branded Funnel,content marketing agency,1.3,0.81,0.0
Non Branded Funnel,global marketing strategy,0.30000000000000004,0.0,0.0
Non Branded Funnel,international marketing manager,0.35,0.0,0.0
Non Branded Funnel,internet marketing agency,0.30000000000000004,0.0,0.0
Non Branded Funnel,internet marketing jobs,0.5,0.96,0.24
Non Branded Funnel,journal of marketing research,0.0,0.0,0.0
Non Branded Funnel,marketing associate,1.1400000000000001,0.0,0.0
Non Branded Funnel,marketing budget,0.14,0.2,0.2
Non Branded Funnel,marketing consultant,1.56,0.27,0.0
Non Branded Funnel,marketing evolution,0.0,0.0,0.0
Non Branded Funnel,marketing intermediaries,0.8,0.2,0.0
Non Branded Funnel,outbound marketing,0.6000000000000001,2.3,0.38
Non Branded Funnel,pay per click marketing,1.5,4.8,0.48
Non Branded Funnel,positioning marketing,0.33,0.0,0.0
Non Branded Funnel,principles of marketing,6.93,15.61,3.56
Non Branded Funnel,social media marketing,4.36,4.12,1.47
Non Branded Funnel,top marketing firms,0.0,0.0,0.0
Non Branded Funnel,undifferentiated marketing,2.24,0.0,0.0
Non Branded Funnel,website marketing,2.0300000000000002,0.0,0.0
Non Branded Funnel,what is inbound marketing,0.0,0.0,0.0
Non Branded HubSpot,account based marketing,10.08,2.25,0.9299999999999999
Non Branded HubSpot,advantage marketing,0.0,0.0,0.0
Non Branded HubSpot,affiliate marketing companies,0.17,0.43,0.29
Non Branded HubSpot,allied integrated marketing,1.0,0.0,0.0
Non Branded HubSpot,assist marketing,1.05,1.3900000000000001,0.4
Non Branded HubSpot,best network marketing companies,0.7,1.46,0.26
Non Branded HubSpot,business to business marketing,12.61,2.9299999999999997,0.42000000000000004
Non Branded HubSpot,chief marketing officer,2.2,21.28,5.38
Non Branded HubSpot,digital marketing,9.8,69.27,7.390000000000001
Non Branded HubSpot,direct marketing,21.31,45.56,7.96
Non Branded HubSpot,direct marketing association,41.96,145.88,32.52
Non Branded HubSpot,fashion marketing,4.63,5.18,0.79
Non Branded HubSpot,google marketing,0.6000000000000001,3.5,0.8200000000000001
Non Branded HubSpot,how to become a marketing manager,0.5,0.0,0.0
Non Branded HubSpot,inbound marketing,20.64,103.71,15.34
Non Branded HubSpot,insurance marketing,0.1,0.0,0.0
Non Branded HubSpot,journal of marketing,6.5,0.92,0.92
Non Branded HubSpot,legal marketing association,0.1,0.64,0.0
Non Branded HubSpot,marketing and advertising,1.5,0.0,0.0
Non Branded HubSpot,marketing and sales,0.25,0.17,0.0
Non Branded HubSpot,marketing articles,0.2,0.0,0.0
Non Branded HubSpot,marketing automation,19.78,19.38,16.45
Non Branded HubSpot,marketing budget template,1.0,0.0,0.0
Non Branded HubSpot,marketing calendar template,0.47000000000000003,0.0,0.0
Non Branded HubSpot,marketing communications,13.57,6.0,1.8800000000000001
Non Branded HubSpot,marketing concepts,1.5,11.77,3.42
Non Branded HubSpot,marketing coordinator,0.6000000000000001,5.72,1.62
Non Branded HubSpot,marketing cover letter,0.5,0.0,0.0
Non Branded HubSpot,marketing definition,26.53,27.97,24.32
Non Branded HubSpot,marketing degree jobs,0.2,0.4,0.0
Non Branded HubSpot,marketing director,3.61,4.97,3.92
Non Branded HubSpot,marketing ethics,1.1,0.0,0.0
Non Branded HubSpot,marketing executive,5.8,1.94,0.21000000000000002
Non Branded HubSpot,marketing management,26.27,21.91,18.5
Non Branded HubSpot,marketing manager,20.7,16.01,13.67
Non Branded HubSpot,marketing mix,1.5,9.77,2.87
Non Branded HubSpot,marketing online,10.790000000000001,4.98,4.59
Non Branded HubSpot,marketing plan sample,3.59,4.2,3.33
Non Branded HubSpot,marketing plan template,1.8,16.919999999999998,4.79
Non Branded HubSpot,marketing plans,1.5,14.81,3.65
Non Branded HubSpot,marketing principles,1.0,0.0,0.0
Non Branded HubSpot,marketing products,4.0,0.0,0.0
Non Branded HubSpot,marketing research process,0.21000000000000002,0.0,0.0
Non Branded HubSpot,marketing synonym,0.1,0.87,0.13
Non Branded HubSpot,marketing tips,0.2,1.6099999999999999,0.52
Non Branded HubSpot,mass marketing,3.51,0.78,0.67
Non Branded HubSpot,mass marketing definition,0.33,0.0,0.0
Non Branded HubSpot,network marketing pro,0.30000000000000004,2.32,0.72
Non Branded HubSpot,niche marketing,6.17,10.24,2.79
Non Branded HubSpot,one to one marketing,1.0,0.0,0.0
Non Branded HubSpot,principles of marketing,0.4,0.92,0.42
Non Branded HubSpot,promotion marketing,8.5,0.0,0.0
Non Branded HubSpot,small business marketing,0.5,0.89,0.44
Non Branded HubSpot,social marketing,8.07,20.49,2.5100000000000002
Non Branded HubSpot,vector marketing,35.98,108.14,30.86
Non Branded HubSpot,web marketing,14.95,18.42,13.22
Non Branded HubSpot,what is a marketing plan,6.5,0.0,0.0
Non Branded HubSpot,world marketing,1.0,0.0,0.0
Reporting Tools,marketing goals,1.0,0.0,0.0
SME - Max Conv.,chief marketing officer,2.87,11.81,4.57
SME - Max Conv.,elite marketing pro,0.25,0.0,0.0
SME - Max Conv.,legal marketing,3.0,0.0,0.0
SME - Max Conv.,marketing plan definition,0.5,0.0,0.0
SME - Max Conv.,mass marketing,5.0,0.0,0.0
SME Consideration,chief marketing officer,61.97,175.46,66.57
SME Consideration,elite marketing pro,0.2,0.0,0.0
SME Consideration,legal marketing,4.83,0.0,0.0
SME Consideration,marketing mix,3.33,30.26,8.450000000000001
SME Consideration,marketing plan definition,2.7800000000000002,0.0,0.0
SME Consideration,mass marketing,16.33,0.0,0.0
SME Consideration,online marketing degree,0.0,0.0,0.0
SME Consideration,viral marketing,2.13,16.1,5.4
SME Consideration,what is inbound marketing,0.0,0.0,0.0
Social Responsibility,account based marketing,22.93,0.45999999999999996,0.14
Social Responsibility,advantage sales and marketing,34.31,34.4,15.2
Social Responsibility,best email marketing software,0.0,0.0,0.0
Social Responsibility,content marketing institute,20.02,6.51,3.14
Social Responsibility,direct mail marketing,13.34,4.88,0.49000000000000005
Social Responsibility,jobs in marketing,0.52,1.35,0.37
Social Responsibility,marketing communications,31.84,14.7,4.2700000000000005
Social Responsibility,marketing job description,8.45,1.01,0.38
Social Responsibility,marketing process,1.79,1.08,0.13
Social Responsibility,marketing services,8.01,0.2,0.0
Social Responsibility,marketing skills,18.85,4.71,2.06
Social Responsibility,marketing strategy definition,1.44,1.32,0.62
Social Responsibility,marketing terms,11.14,0.0,0.0
Social Responsibility,masters in marketing,8.71,9.19,3.89
Social Responsibility,ppc marketing,16.3,6.75,3.34
Social Responsibility,pragmatic marketing,1.1600000000000001,1.83,0.45999999999999996
Social Responsibility,promotion marketing,19.580000000000002,0.0,0.0
Social Responsibility,search engine marketing,4.680000000000001,8.44,4.28
Social Responsibility,social media marketing company,12.74,0.14,0.14
Social Responsibility - Max Conv.,agent marketing,5.75,0.0,0.0
Social Responsibility - Max Conv.,content marketing strategy,0.5,0.0,0.0
Social Responsibility - Max Conv.,definition of marketing,3.49,0.64,0.09
Social Responsibility - Max Conv.,digital marketing manager,1.25,0.0,0.0
Social Responsibility - Max Conv.,marketing companies,3.69,1.84,1.04
Social Responsibility - Max Conv.,marketing consultant,3.31,0.0,0.0
Social Responsibility - Max Conv.,marketing land,1.5,0.0,0.0
Social Responsibility - Max Conv.,marketing strategy template,2.0,0.0,0.0
Social Responsibility - Max Conv.,product marketing,5.07,0.0,0.0
Social Responsibility - Max Conv.,retail marketing,0.0,0.0,0.0
Social Responsibility - Max Conv.,sms marketing,3.48,0.73,0.27
Social Responsibility - Max Conv.,social media marketing,3.46,3.23,1.05
Support - Max Conv.,account based marketing,5.7,0.0,0.0
Support - Max Conv.,advantage sales and marketing,1.42,0.14,0.0
Support - Max Conv.,content marketing institute,0.25,0.0,0.0
Support - Max Conv.,creative marketing,0.24,0.56,0.22
Support - Max Conv.,direct mail marketing,2.41,0.34,0.0
Support - Max Conv.,marketing communications,7.57,0.63,0.06
Support - Max Conv.,marketing job description,2.59,0.0,0.0
Support - Max Conv.,marketing services,1.9,0.0,0.0
Support - Max Conv.,marketing terms,2.6,0.0,0.0
Support - Max Conv.,masters in marketing,0.5,0.0,0.0
Support - Max Conv.,ppc marketing,4.0600000000000005,1.0,0.69
Support - Max Conv.,promotion marketing,2.17,0.0,0.0
Support - Max Conv.,search engine marketing,1.03,7.2,4.17
Support - Max Conv.,social media marketing company,2.0,0.0,0.0
